"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"1015-10","1","1015-10","Chácara Maria Trindade - Terminal Jd. Britania",3,"",""
"1016-10","1","1016-10","Cemiterio Do Horto - Center Norte",3,"",""
"1017-10","1","1017-10","Perus - Vila Iorio",3,"",""
"1018-10","1","1018-10","Vila Rosa - Metrô Santana",3,"",""
"1021-10","1","1021-10","Cohab Brasilândia - Terminal Pirituba",3,"",""
"1024-10","1","1024-10","Jd. Carombe - Conexão Petrônio Portela",3,"",""
"1025-10","1","1025-10","Jd. Carombe - Conexão Petrônio Portela",3,"",""
"1026-10","1","1026-10","Vila Iara - Conexão Petrônio Portela",3,"",""
"106A-10","1","106A-10","Metrô Santana - Itaim Bibi",3,"",""
"107T-10","1","107T-10","Metrô Tucuruvi - Terminal Pinheiros",3,"",""
"107T-31","1","107T-31","Metrô Tucuruvi - Terminal Pinheiros ",3,"",""
"1156-10","1","1156-10","Vila Sabrina - Pca. Do Correio",3,"",""
"1156-31","1","1156-31","Vila Sabrina - Praça Do Correio",3,"",""
"1177-10","1","1177-10","Term. A.e. Carvalho - Estação Da Luz",3,"",""
"1177-31","1","1177-31","Term. A. E. Carvalho - Estação Da Luz",3,"",""
"1177-42","1","1177-42","Engenheiro Goulart - Term. Pq.d. Pedro Ii",3,"",""
"1178-10","1","1178-10","Sao Miguel - Pca. Do Correio",3,"",""
"1178-31","1","1178-31","Sao Miguel - Pca. Do Correio",3,"",""
"1178-32","1","1178-32","Abel Tavares - Pca. Do Correio",3,"",""
"1178-33","1","1178-33","Pca. Do Correio - Sao Miguel",3,"",""
"1178-42","1","1178-42","Conj. Hab.vl.silvia - Pca. Do Correio",3,"",""
"118C-10","1","118C-10","Jd. Pery Alto - Metrô Santa Cecília",3,"",""
"118C-21","1","118C-21","Parada Pinto - Estação Da Luz",3,"",""
"118C-22","1","118C-22","Estação Da Luz - Jd.pery Alto",3,"",""
"118C-24","1","118C-24","Shopping - D - Jd. Pery Alto",3,"",""
"118C-41","1","118C-41","Universidade São Francisco - Jd. Pery Alto",3,"",""
"118Y-10","1","118Y-10","Lauzane Paulista - Lapa",3,"",""
"119C-10","1","119C-10","Vila Sabrina - Term.princesa Isabel",3,"",""
"119L-10","1","119L-10","Vila Sulina - Terminal Lapa",3,"",""
"1206-10","1","1206-10","Pq. Vila Maria - Correio",3,"",""
"121G-10","1","121G-10","Pq. Novo Mundo - Metrô Tucuruvi",3,"",""
"128Y-10","1","128Y-10","Jd. Pery Alto - Lapa",3,"",""
"129F-10","1","129F-10","Conexão Petrônio Portela - Metrô Barra Funda",3,"",""
"129F-41","1","129F-41","Conexão Petrônio Portela - Praça Do Correio",3,"",""
"138Y-10","1","138Y-10","Hosp. Cachoeirinha - Metrô Barra Funda",3,"",""
"148L-10","1","148L-10","Cohab Antartica - Lapa",3,"",""
"148P-10","1","148P-10","Jardim Pery - Term. Barra Funda",3,"",""
"1701-10","1","1701-10","Jova Rural - Carandiru",3,"",""
"1701-51","1","1701-51","Jova Rural - Carandiru",3,"",""
"1702-10","1","1702-10","Jova Rural - Tiete",3,"",""
"1703-10","1","1703-10","Jd. Fontalis - Center Norte",3,"",""
"1705-10","1","1705-10","Jd. Sao Joao - Metrô Tucuruvi",3,"",""
"1709-10","1","1709-10","Jd. Joana D'arc - Metrô Tucuruvi",3,"",""
"1709-21","1","1709-21","Jd. Joamar - Metrô Tucuruvi",3,"",""
"1720-10","1","1720-10","Jd. Guanca - Cantareira",3,"",""
"1720-21","1","1720-21","Vila Sabrina - Metrô Tucuruvi",3,"",""
"1721-10","1","1721-10","Vila Sabrina - Metrô Carandiru",3,"",""
"1722-10","1","1722-10","Jd. Marina - Metrô Tucuruvi",3,"",""
"1726-10","1","1726-10","Vila Zilda - Metrô Santana",3,"",""
"1726-51","1","1726-51","Clube Plêiades - Metrô Santana",3,"",""
