"stop_id","stop_name","stop_desc","stop_lat","stop_lon"
18848,"Clínicas","",-23.554190,-46.670723
18849,"Vila Madalena","",-23.546720,-46.690738
18850,"Consolação","",-23.557501,-46.660872
18851,"Conceição","",-23.636214,-46.641141
18852,"Jabaquara","",-23.645754,-46.642084
18853,"São Judas","",-23.625580,-46.640778
18854,"Saúde","",-23.618285,-46.639148
18855,"Praça Da Árvore","",-23.610578,-46.637848
18856,"Santa Cruz","",-23.599225,-46.636659
18857,"Vila Mariana","",-23.589541,-46.634701
18858,"Brigadeiro","",-23.568277,-46.648152
18859,"Trianon-masp","",-23.562506,-46.655163
18860,"Ana Rosa","",-23.581203,-46.638489
18861,"Paraíso","",-23.574932,-46.640563
18862,"Vergueiro","",-23.568994,-46.639858
18863,"São Joaquim","",-23.561912,-46.638652
18864,"Marechal Deodoro","",-23.533985,-46.655728
18865,"Santa Cecília","",-23.538694,-46.649732
18866,"República","",-23.544375,-46.642815
18867,"Anhangabaú","",-23.547916,-46.639324
18868,"Liberdade","",-23.554724,-46.635598
18869,"Sé","",-23.550634,-46.633326
18870,"São Bento","",-23.543959,-46.633788
18871,"Pedro II","",-23.549809,-46.625474
18872,"Luz","",-23.537691,-46.633687
18873,"Tiradentes","",-23.530857,-46.631959
18874,"Armênia","",-23.525545,-46.629317
18875,"Bresser-mooca","",-23.546596,-46.607323
18876,"Belem","",-23.543118,-46.589599
18877,"Portuguesa-tietê","",-23.516587,-46.625123
18878,"Carandiru","",-23.509654,-46.624910
18879,"Santana","",-23.502724,-46.624716
18880,"Jardim São Paulo-ayrton Senna","",-23.492233,-46.616687
18881,"Parada Inglesa","",-23.487111,-46.608877
18882,"Tucuruvi","",-23.480048,-46.603211
18883,"Carrão","",-23.537601,-46.563637
18884,"Penha","",-23.533648,-46.543950
18885,"Vila Matilde","",-23.531903,-46.530539
18886,"Guilhermina Esperança","",-23.529195,-46.516734
18887,"Patriarca","",-23.531079,-46.501715
18888,"Artur Alvim","",-23.540339,-46.484424
18889,"Eng. Goulart","",-23.498151,-46.520070
18890,"Corinthians-itaquera","",-23.542080,-46.471379
18891,"Comendador Ermelino","",-23.485502,-46.482897
18892,"Dom Bosco","",-23.541380,-46.448073
18893,"José Bonifácio","",-23.539153,-46.430731
18894,"Antonio Gianetti Neto","",-23.554384,-46.383661
18895,"Guaianazes","",-23.542271,-46.415587
18897,"Itaim Paulista","",-23.493868,-46.402469
18898,"Ferraz De Vasconcelos","",-23.541440,-46.368811
18899,"Poá","",-23.525922,-46.343646
18900,"Eng Manoel Feio","",-23.478454,-46.363519
18901,"Calmon Viana","",-23.525573,-46.333636
18902,"Suzano","",-23.533832,-46.309381
18906,"Santo Amaro","",-23.655916,-46.719686
18907,"Jurubatuba","",-23.677433,-46.702485
