"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1015-10","USD","1015-10-0","Terminal Jd. Britania",0,53443
"1016-10","USD","1016-10-0","Center Norte",0,53755
"1016-10","USD","1016-10-1","Cemiterio Do Horto",1,53756
"1017-10","USD","1017-10-0","Vila Iorio",0,53033
"1017-10","USD","1017-10-1","Perus",1,53034
"1018-10","USD","1018-10-0","Metrô Santana",0,52197
"1018-10","USD","1018-10-1","Vila Rosa",1,52198
"1021-10","US_","1021-10-0","Terminal Pirituba",0,58785
"1021-10","US_","1021-10-1","Cohab Brasilândia",1,58786
"1024-10","USD","1024-10-0","Conexão Petrônio Portela",0,58765
"1024-10","USD","1024-10-1","Jd. Carombe",1,58766
"1025-10","USD","1025-10-0","Conexão Petrônio Portela",0,58767
"1025-10","USD","1025-10-1","Jd. Carombe",1,58768
"1026-10","USD","1026-10-0","Conexão Petrônio Portela",0,58769
"1026-10","USD","1026-10-1","Vila Iara",1,58770
"106A-10","USD","106A-10-0","Itaim Bibi",0,55806
"106A-10","USD","106A-10-1","Metrô Santana",1,52413
"107T-10","USD","107T-10-0","Terminal Pinheiros",0,55222
"107T-10","USD","107T-10-1","Metrô Tucuruvi",1,56504
"107T-31","U__","107T-31-0","Terminal Pinheiros ",0,58402
"107T-31","U__","107T-31-1","Metrô Tucuruvi",1,56505
"1156-10","USD","1156-10-0","Pca. Do Correio",0,55808
"1156-10","USD","1156-10-1","Vila Sabrina",1,52708
"1156-31","U__","1156-31-0","Praça Do Correio",0,55809
"1156-31","U__","1156-31-1","Vila Sabrina",1,58857
"1177-10","USD","1177-10-0","Estação Da Luz",0,58692
"1177-10","USD","1177-10-1","Term. A.e. Carvalho",1,57627
"1177-31","U__","1177-31-0","Estação Da Luz",0,52764
"1177-31","U__","1177-31-1","Term. A. E. Carvalho",1,52765
"1177-42","U__","1177-42-0","Term. Pq.d. Pedro Ii",0,57358
"1178-10","USD","1178-10-0","Pca. Do Correio",0,58409
"1178-10","USD","1178-10-1","Sao Miguel",1,55352
"1178-31","U__","1178-31-0","Pca. Do Correio",0,58422
"1178-31","U__","1178-31-1","Sao Miguel",1,58423
"1178-32","U__","1178-32-0","Pca. Do Correio",0,58412
"1178-33","U__","1178-33-0","Sao Miguel",0,55361
"1178-42","U__","1178-42-0","Pca. Do Correio",0,58413
"118C-10","USD","118C-10-0","Metrô Santa Cecília",0,52714
"118C-10","USD","118C-10-1","Jd. Pery Alto",1,52715
"118C-21","U__","118C-21-0","Estação Da Luz",0,52799
"118C-22","U__","118C-22-0","Jd.pery Alto",0,52810
"118C-24","U__","118C-24-0","Jd. Pery Alto",0,53511
"118C-41","U__","118C-41-0","Jd. Pery Alto",0,52820
"118Y-10","USD","118Y-10-0","Lapa",0,52720
"118Y-10","USD","118Y-10-1","Lauzane Paulista",1,58886
"119C-10","USD","119C-10-0","Term.princesa Isabel",0,55216
"119C-10","USD","119C-10-1","Vila Sabrina",1,55217
"119L-10","US_","119L-10-0","Terminal Lapa",0,58450
"119L-10","US_","119L-10-1","Vila Sulina",1,58447
"1206-10","USD","1206-10-0","Correio",0,53605
"121G-10","USD","121G-10-0","Metrô Tucuruvi",0,52421
"128Y-10","USD","128Y-10-0","Lapa",0,52844
"128Y-10","USD","128Y-10-1","Jd. Pery Alto",1,58887
"129F-10","USD","129F-10-0","Metrô Barra Funda",0,58763
"129F-10","USD","129F-10-1","Conexão Petrônio Portela",1,58764
"129F-41","U__","129F-41-0","Praça Do Correio",0,58025
"129F-41","U__","129F-41-1","Conexão Petrônio Portela",1,58856
"138Y-10","USD","138Y-10-0","Metrô Barra Funda",0,56674
"138Y-10","USD","138Y-10-1","Hosp. Cachoeirinha",1,56675
"148L-10","USD","148L-10-0","Lapa",0,52857
"148L-10","USD","148L-10-1","Cohab Antartica",1,52858
"148P-10","USD","148P-10-0","Term. Barra Funda",0,54987
"148P-10","USD","148P-10-1","Jardim Pery",1,54988
"1701-10","USD","1701-10-0","Carandiru",0,52904
"1701-51","US_","1701-51-0","Carandiru",0,52928
"1702-10","USD","1702-10-0","Tiete",0,54261
"1702-10","USD","1702-10-1","Jova Rural",1,53661
"1703-10","USD","1703-10-0","Center Norte",0,52632
"1703-10","USD","1703-10-1","Jd. Fontalis",1,52633
"1705-10","USD","1705-10-0","Metrô Tucuruvi",0,52929
"1705-10","USD","1705-10-1","Jd. Sao Joao",1,52930
"1709-10","USD","1709-10-0","Metrô Tucuruvi",0,52931
"1709-21","U__","1709-21-0","Metrô Tucuruvi",0,53206
"1720-10","USD","1720-10-0","Cantareira",0,54502
"1720-10","USD","1720-10-1","Jd. Guanca",1,54503
"1720-21","USD","1720-21-0","Metrô Tucuruvi",0,52936
"1721-10","USD","1721-10-0","Metrô Carandiru",0,52941
"1722-10","USD","1722-10-0","Metrô Tucuruvi",0,52783
"1722-10","USD","1722-10-1","Jd. Marina",1,52784
"1726-10","USD","1726-10-0","Metrô Santana",0,52429
"1726-10","USD","1726-10-1","Vila Zilda",1,52430
"1726-51","U__","1726-51-0","Metrô Santana",0,52757
"1726-51","U__","1726-51-1","Clube Plêiades",1,52758
"172J-10","USD","172J-10-0","Tatuape",0,52985
"172J-10","USD","172J-10-1","Jd. Brasil",1,52986
"172K-10","USD","172K-10-0","Metrô Tatuapé",0,52944
"172K-10","USD","172K-10-1","Jd. Tremembe",1,52945
"172N-10","USD","172N-10-0","Metrô Belém",0,52638
"172N-10","USD","172N-10-1","Shop. Center Norte",1,52639
"172N-21","U__","172N-21-0","Metrô Belém",0,53818
"172N-22","U__","172N-22-0","Metrô Belém",0,54874
"172P-10","USD","172P-10-0","Metrô Belém",0,53714
"172P-10","USD","172P-10-1","Vila Zilda",1,53715
"172R-10","USD","172R-10-0","Metrô Belém",0,52950
"172R-10","USD","172R-10-1","Jaçanã",1,52951
"172U-10","USD","172U-10-0","Mooca",0,53680
"172U-10","USD","172U-10-1","Cem.pq.dos Pinheiros",1,53681
"172X-10","USD","172X-10-0","Metrô Tatuapé",0,52987
"172X-10","USD","172X-10-1","Pq. Novo Mundo",1,56560
"172Y-10","USD","172Y-10-0","Metrô Belém",0,52995
"172Y-10","USD","172Y-10-1","Vila Constança",1,52996
